planning_id,release,item,record_type,planned_quantity,quantity_basis,candidate_route,material_or_mpn,release_dependency,status
MI-Q010,P0,Shell seam and alignment coupons,family,TBD,Test variants,Print,TBD,Shop process; seam design,PLANNING-NOT-RELEASED
MI-Q020,P0,Fastener and insert coupons,family,TBD,Test variants,Print,TBD,Selected fasteners; wall design,PLANNING-NOT-RELEASED
MI-Q030,P0,Fit and clearance coupons,family,TBD,Test variants,Print,TBD,Mating hardware; shop process,PLANNING-NOT-RELEASED
MI-Q040,P0,Surface finish coupon,part,1,Initial sample,Print and finish,TBD,Material; finish specification,PLANNING-NOT-RELEASED
MI-H010,P1,Front head shell segments,family,TBD,Segments per head,Print,TBD,Head direction; shop volume; packaging,PLANNING-NOT-RELEASED
MI-H020,P1,Rear head shell and service hatch,family,TBD,Segments and hatch,Print,TBD,Cooling; service access; shop volume,PLANNING-NOT-RELEASED
MI-H030,P1,Internal head carrier,family,TBD,Derived load-bearing pieces,Print or metal after load review,TBD,Measured payload; neck interface; load review,PLANNING-NOT-RELEASED
MI-H040,P0/P1,Stereo camera cassette and mounts,family,TBD,One test eye in P0; stereo assembly in P1,Print or metal after alignment review,TBD,Camera MPNs; baseline; connector space; calibration,PLANNING-NOT-RELEASED
MI-H050,P0/P1,Optical bezels,family,TBD,One test eye in P0; two eye positions in P1,Print,TBD,Camera field of view; left/right interchangeability,PLANNING-NOT-RELEASED
MI-H060,P1,Amber arc trim or diffuser,family,TBD,Two eye positions; splits TBD,Print or purchased diffuser,TBD,Illumination decision; glare; quote,PLANNING-NOT-RELEASED
MI-H070,P1,Pi and cooler mounts or duct,family,TBD,Packaging-derived parts,Print,TBD,Real board; cooler; connectors; thermal review,PLANNING-NOT-RELEASED
MI-H080,P1,Speaker mount and grille,family,TBD,Audio packaging pieces,Print,TBD,Speaker dimensions; acoustic test,PLANNING-NOT-RELEASED
MI-H090,P1,Microphone mount,part,1,One microphone module; conditional geometry,Print,TBD,Microphone MPN; vibration and fan noise,PLANNING-NOT-RELEASED
MI-H100,P1,Neck cable guides and strain relief,family,TBD,Route-derived pieces,Print or purchased hardware,TBD,Cable bend radius; swept motion,PLANNING-NOT-RELEASED
MI-N010,P1,Yaw bearing and actuator mounting plates,family,TBD,Bearing-supported turntable assembly,Metal candidate; loads determine route,TBD,Bearing and motor MPNs; torque; stops,PLANNING-NOT-RELEASED
MI-N020,P1,Pitch yoke and supported shaft mounts,family,TBD,Nod assembly,Metal candidate; loads determine route,TBD,Head COM; bearings; actuator; cable route,PLANNING-NOT-RELEASED
MI-N030,P1,Roll cradle and supported shaft mounts,family,TBD,Tilt assembly,Metal candidate; loads determine route,TBD,Head COM; bearings; actuator; cable route,PLANNING-NOT-RELEASED
MI-N040,P1,Neck cosmetic covers,family,TBD,Removable covers,Print,TBD,Qualified joint geometry; swept clearance,PLANNING-NOT-RELEASED
MI-J010,P1,Head bench fixture,assembly,1,Temporary test fixture; not installed in robot,Fabricate; leaf parts TBD,TBD,Payload; restraints; access; fixture stability,PLANNING-NOT-RELEASED
MI-C010,P2,Chassis deck and internal frame,family,TBD,Structural pieces,Metal candidate; loads determine route,TBD,Payload; wheelbase; support polygon; load review,PLANNING-NOT-RELEASED
MI-C020,P2,Drive motor and bearing mounts,family,TBD,Two drive positions; piece count TBD,Metal candidate; loads determine route,TBD,Selected drivetrain; shafts; fasteners,PLANNING-NOT-RELEASED
MI-C030,P2,Support wheel mounting interfaces,family,TBD,Count follows drivetrain design,Fabricate; process TBD,TBD,Caster selection; sweep; ground clearance,PLANNING-NOT-RELEASED
